epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0893,1.20695,16.8725,0.01035,0.68808,0.6,0.65136,0.36376,1.22618,2.9186,0.01074,0.00056,0.00056,0.00056
2,31.5223,1.48767,5.13394,0.01119,0.18363,0.26999,0.15576,0.07019,1.78967,4.37867,0.01692,0.00112871,0.00112871,0.00112871
3,41.7621,1.68557,2.9617,0.01426,0.52612,0.23333,0.23032,0.09695,2.26347,6.95722,0.0223,0.00168594,0.00168594,0.00168594
4,51.9523,1.87496,2.41121,0.01641,0.00117,0.26667,0.00043,6e-05,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,61.9715,1.97603,2.37198,0.01682,0.59428,0.63333,0.5201,0.18259,2.26719,2.0281,0.02132,0.0019208,0.0019208,0.0019208
6,71.9188,1.91425,1.4566,0.01575,0.48917,0.6,0.52242,0.17393,2.37151,4.36368,0.02222,0.001901,0.001901,0.001901
7,81.9039,1.96013,1.31101,0.01712,0.73889,0.66667,0.7054,0.32152,1.87678,3.0901,0.01688,0.0018812,0.0018812,0.0018812
8,91.8527,1.82291,1.18555,0.01456,0.46337,0.56667,0.4932,0.16504,2.11891,nan,0.01859,0.0018614,0.0018614,0.0018614
9,101.883,1.79104,1.16729,0.01426,0.54065,0.63333,0.52873,0.22873,2.01814,nan,0.01908,0.0018416,0.0018416,0.0018416
10,111.931,1.76034,1.08709,0.01375,0.65867,0.73333,0.73246,0.31436,1.87731,1.4549,0.01785,0.0018218,0.0018218,0.0018218
11,121.886,1.65017,0.96293,0.01343,0.64269,0.56667,0.60977,0.28864,2.04364,1.34216,0.01972,0.001802,0.001802,0.001802
12,131.682,1.6917,1.15104,0.01407,0.85532,0.78852,0.79543,0.41892,1.587,0.86517,0.01415,0.0017822,0.0017822,0.0017822
13,141.622,1.66181,1.07943,0.01295,0.87572,0.73333,0.72801,0.35937,1.7379,1.00983,0.01536,0.0017624,0.0017624,0.0017624
14,151.461,1.59768,0.92851,0.01253,0.76034,0.76667,0.75573,0.36116,1.85223,1.11633,0.01764,0.0017426,0.0017426,0.0017426
15,161.367,1.64363,0.9119,0.01332,0.90319,0.7,0.76061,0.41083,1.52014,1.25022,0.01343,0.0017228,0.0017228,0.0017228
16,171.244,1.53668,0.99886,0.01267,0.84714,0.66667,0.69475,0.35121,1.80783,3.06205,0.01717,0.001703,0.001703,0.001703
17,181.121,1.55412,0.93841,0.01257,0.91156,0.68749,0.72482,0.43601,1.42937,1.77094,0.01256,0.0016832,0.0016832,0.0016832
18,191.28,1.60294,0.99546,0.01287,0.80258,0.67784,0.73905,0.32987,1.86779,1.26453,0.01717,0.0016634,0.0016634,0.0016634
19,201.347,1.62278,0.86516,0.01391,0.79385,0.53333,0.64323,0.31623,1.70844,1.66978,0.01516,0.0016436,0.0016436,0.0016436
20,211.466,1.53101,1.06228,0.01287,0.81861,0.75244,0.76282,0.4155,1.48554,1.02353,0.01257,0.0016238,0.0016238,0.0016238
21,221.522,1.52011,0.82097,0.01264,0.95623,0.72843,0.77851,0.4418,1.43997,1.03906,0.0121,0.001604,0.001604,0.001604
22,231.707,1.38303,0.85096,0.01047,0.87765,0.76667,0.77549,0.47165,1.38329,1.10777,0.01213,0.0015842,0.0015842,0.0015842
23,242.006,1.40666,0.85633,0.01094,0.84334,0.76667,0.78425,0.48783,1.43965,1.08905,0.01314,0.0015644,0.0015644,0.0015644
24,252.44,1.34036,0.80637,0.01064,0.97512,0.73333,0.78547,0.48756,1.36334,1.14821,0.01188,0.0015446,0.0015446,0.0015446
25,262.615,1.55857,0.87236,0.01234,0.80129,0.7,0.71739,0.45597,1.36836,0.92729,0.01194,0.0015248,0.0015248,0.0015248
26,272.713,1.40402,0.87412,0.01052,0.84244,0.76667,0.77665,0.4736,1.52482,0.82905,0.01294,0.001505,0.001505,0.001505
27,282.838,1.3619,0.7321,0.01056,0.8633,0.73333,0.75355,0.49195,1.37429,0.9605,0.012,0.0014852,0.0014852,0.0014852
28,293.166,1.3389,0.72857,0.01061,0.94129,0.73333,0.79434,0.49188,1.35066,0.91206,0.01192,0.0014654,0.0014654,0.0014654
29,303.253,1.40581,0.85176,0.01145,0.87139,0.76667,0.79686,0.46616,1.49941,0.89249,0.01283,0.0014456,0.0014456,0.0014456
30,313.44,1.39037,0.81317,0.01107,0.89507,0.7,0.74675,0.44829,1.58111,1.03646,0.01489,0.0014258,0.0014258,0.0014258
31,323.505,1.3417,0.74063,0.00992,0.91116,0.68413,0.73979,0.48416,1.38533,0.92741,0.01162,0.001406,0.001406,0.001406
32,333.407,1.39036,0.74477,0.01059,0.84161,0.7,0.74532,0.48042,1.37783,1.02879,0.01196,0.0013862,0.0013862,0.0013862
33,343.421,1.32567,0.73512,0.01113,0.86871,0.73333,0.75622,0.50213,1.36988,0.82434,0.01229,0.0013664,0.0013664,0.0013664
34,353.363,1.35099,0.79278,0.01156,0.87022,0.73333,0.73594,0.46062,1.37283,1.10487,0.01234,0.0013466,0.0013466,0.0013466
