epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9881,1.07202,10.8652,0.00831,0.00276,0.8,0.34984,0.23304,0.7637,12.0224,0.00535,0.00028,0.00028,0.00028
2,29.5139,1.12129,8.33837,0.00848,0.00322,0.93333,0.67381,0.42092,0.9115,12.0385,0.00663,0.000574258,0.000574258,0.000574258
3,35.891,1.09108,8.21237,0.0083,0.0031,0.9,0.57717,0.38841,1.00298,11.9486,0.00738,0.000862576,0.000862576,0.000862576
4,42.2016,1.17749,7.70337,0.00857,0.91415,0.35559,0.68989,0.46284,1.05184,11.6788,0.00783,0.00114495,0.00114495,0.00114495
5,48.436,1.16084,6.56249,0.00863,0.85568,0.39558,0.69735,0.36974,1.0217,11.5041,0.0078,0.00142139,0.00142139,0.00142139
6,54.785,1.20188,6.01869,0.00835,0.63579,0.46667,0.59632,0.38507,1.2764,11.5265,0.00982,0.00169189,0.00169189,0.00169189
7,60.953,1.23804,5.9935,0.00916,0.69315,0.56667,0.68272,0.42484,1.3364,8.8209,0.01026,0.0018812,0.0018812,0.0018812
8,67.4026,1.26487,5.08871,0.0095,0.82053,0.66667,0.7671,0.53291,1.03961,5.2047,0.00779,0.0018614,0.0018614,0.0018614
9,73.5704,1.23766,4.20547,0.00876,0.67017,0.5,0.62718,0.4517,1.03656,4.39887,0.00735,0.0018416,0.0018416,0.0018416
10,79.7657,1.16845,4.22529,0.008,0.66682,0.73385,0.73259,0.46608,1.18805,3.83216,0.00869,0.0018218,0.0018218,0.0018218
11,85.8988,1.24303,3.86513,0.00927,0.73493,0.8,0.79003,0.47865,1.16971,2.89222,0.0094,0.001802,0.001802,0.001802
12,92.1819,1.23612,3.67928,0.00874,0.72328,0.61016,0.70669,0.46741,1.24198,2.76534,0.01009,0.0017822,0.0017822,0.0017822
13,98.3955,1.25041,2.97888,0.00886,0.74055,0.7,0.69894,0.40387,1.28107,2.69722,0.01034,0.0017624,0.0017624,0.0017624
14,104.432,1.26215,2.8755,0.00852,0.77682,0.83333,0.82424,0.54294,1.10923,2.24219,0.00854,0.0017426,0.0017426,0.0017426
15,110.657,1.16262,2.60777,0.00835,0.9225,0.6,0.77492,0.50238,1.19929,2.34722,0.0092,0.0017228,0.0017228,0.0017228
16,116.783,1.09497,2.26939,0.00781,0.81973,0.83333,0.85878,0.52871,1.20235,1.98414,0.00901,0.001703,0.001703,0.001703
17,123.091,1.12243,2.22233,0.00856,0.71089,0.8,0.74971,0.45518,1.35108,1.76772,0.0098,0.0016832,0.0016832,0.0016832
18,129.434,1.19937,1.97232,0.00873,0.73753,0.65592,0.725,0.45744,1.25274,1.80219,0.0094,0.0016634,0.0016634,0.0016634
19,135.697,1.27451,2.01355,0.0097,0.83392,0.7,0.80013,0.57406,1.0005,1.54551,0.00747,0.0016436,0.0016436,0.0016436
20,141.813,1.08237,1.65767,0.00781,0.83905,0.69524,0.7702,0.51097,1.21523,1.72734,0.00932,0.0016238,0.0016238,0.0016238
21,147.957,1.13005,1.63746,0.00884,0.77575,0.69209,0.75846,0.49674,1.09928,1.26971,0.00852,0.001604,0.001604,0.001604
22,154.213,1.16688,1.52339,0.0087,0.88043,0.63333,0.80005,0.55195,1.08813,1.03385,0.0084,0.0015842,0.0015842,0.0015842
23,160.353,1.21259,1.51826,0.00848,0.77493,0.73333,0.79082,0.54284,1.12646,1.17377,0.00863,0.0015644,0.0015644,0.0015644
24,166.457,1.19397,1.44658,0.00843,0.76314,0.66667,0.76862,0.49038,1.27826,0.98805,0.01025,0.0015446,0.0015446,0.0015446
25,172.442,1.09966,1.34284,0.00826,0.80114,0.66667,0.78902,0.55981,1.04185,1.09593,0.00839,0.0015248,0.0015248,0.0015248
26,178.732,1.07396,1.22602,0.00842,0.75956,0.66667,0.77252,0.54602,1.05784,0.97123,0.00796,0.001505,0.001505,0.001505
27,185.035,1.06425,1.20113,0.00854,0.83152,0.65835,0.76587,0.52419,1.02754,1.12777,0.00763,0.0014852,0.0014852,0.0014852
28,191.275,1.00802,1.06766,0.00758,0.72369,0.73333,0.72474,0.49728,1.12449,1.13671,0.00856,0.0014654,0.0014654,0.0014654
29,197.361,1.06442,1.1479,0.0075,0.73468,0.7,0.73084,0.49106,1.13584,1.11926,0.00855,0.0014456,0.0014456,0.0014456
30,203.582,1.01911,1.13784,0.00773,0.85081,0.8,0.81401,0.52111,1.14103,1.121,0.00881,0.0014258,0.0014258,0.0014258
31,209.639,1.01315,1.02659,0.00708,0.78557,0.73333,0.77759,0.47406,1.3116,0.98571,0.01043,0.001406,0.001406,0.001406
32,215.828,1.08545,1.00993,0.00782,0.8275,0.73333,0.81085,0.50356,1.26202,0.89318,0.01001,0.0013862,0.0013862,0.0013862
33,222.181,1.10182,0.97604,0.00807,0.86772,0.76667,0.78184,0.52371,1.17552,0.95793,0.00899,0.0013664,0.0013664,0.0013664
34,228.392,1.13793,1.04585,0.00877,0.80883,0.73333,0.75175,0.49303,1.18438,1.11816,0.00876,0.0013466,0.0013466,0.0013466
35,234.607,1.02951,0.90988,0.00761,0.77215,0.79096,0.74518,0.48015,1.24427,1.14067,0.00923,0.0013268,0.0013268,0.0013268
36,240.755,1.06338,0.89138,0.00743,0.78814,0.8,0.77974,0.56267,1.03142,1.03401,0.00782,0.001307,0.001307,0.001307
37,246.822,1.04716,0.87889,0.00787,0.78466,0.76667,0.75138,0.51765,1.17006,1.04092,0.00924,0.0012872,0.0012872,0.0012872
38,252.987,0.98445,0.88058,0.00713,0.83876,0.76667,0.80211,0.56511,1.14116,0.99347,0.00851,0.0012674,0.0012674,0.0012674
