epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7002,1.2432,17.8246,0.01092,0.32078,0.16667,0.21245,0.12163,1.05601,11.4126,0.00833,0.00028,0.00028,0.00028
2,22.8267,1.09526,6.35815,0.00773,0.45314,0.26667,0.3293,0.18848,1.14196,10.7518,0.00899,0.000574258,0.000574258,0.000574258
3,29.8396,1.19898,3.63028,0.00905,0.7556,0.73333,0.72713,0.41579,1.37537,2.90672,0.01116,0.000862576,0.000862576,0.000862576
4,36.8945,1.28108,2.14224,0.00985,0.60483,0.5,0.55347,0.27415,1.64482,3.88595,0.01354,0.00114495,0.00114495,0.00114495
5,43.802,1.46528,1.8164,0.01158,0.30613,0.66667,0.3437,0.19768,1.54899,3.19072,0.01238,0.00142139,0.00142139,0.00142139
6,50.5927,1.40249,1.53274,0.01034,0.79773,0.6576,0.70979,0.38726,1.55873,1.82413,0.01246,0.00169189,0.00169189,0.00169189
7,57.4191,1.41272,1.38622,0.01135,0.80118,0.5,0.61317,0.33054,1.51963,1.63588,0.01266,0.0018812,0.0018812,0.0018812
8,64.2832,1.41256,1.23374,0.01153,0.6036,0.53333,0.52752,0.24633,1.52549,nan,0.0122,0.0018614,0.0018614,0.0018614
9,71.0602,1.45192,1.24557,0.01176,0.53389,0.23333,0.2218,0.09334,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,77.9361,1.44629,1.25376,0.01106,0.76016,0.5,0.51918,0.27609,1.75665,1.9768,0.01642,0.0018218,0.0018218,0.0018218
11,84.8658,1.53358,1.14705,0.01222,0.82853,0.6,0.71125,0.43783,nan,nan,nan,0.001802,0.001802,0.001802
12,91.804,1.41853,1.08423,0.01163,0.85616,0.7,0.69491,0.36066,nan,nan,nan,0.0017822,0.0017822,0.0017822
13,98.7483,1.54851,1.08665,0.01169,0.94867,0.66667,0.77452,0.4243,1.61341,1.16248,0.01425,0.0017624,0.0017624,0.0017624
14,105.618,1.65053,1.17142,0.01333,0.8171,0.74483,0.82305,0.44636,1.75681,1.04515,0.01565,0.0017426,0.0017426,0.0017426
15,112.508,1.41012,1.14606,0.01083,0.81257,0.66667,0.71162,0.42217,1.53998,1.38978,0.01296,0.0017228,0.0017228,0.0017228
16,119.495,1.28951,1.04485,0.01042,0.68273,0.7,0.71136,0.45887,1.37146,1.23248,0.01074,0.001703,0.001703,0.001703
17,126.371,1.38639,0.9666,0.01114,0.98011,0.56667,0.73388,0.47349,1.32234,1.07584,0.01086,0.0016832,0.0016832,0.0016832
18,133.281,1.40358,0.93245,0.01133,0.82623,0.79267,0.8131,0.37346,1.86239,1.20917,0.01751,0.0016634,0.0016634,0.0016634
19,140.167,1.43876,0.94947,0.01264,0.81822,0.76667,0.78991,0.47977,1.47428,0.90649,0.01297,0.0016436,0.0016436,0.0016436
20,147.133,1.33852,0.83761,0.01108,0.87835,0.72231,0.74421,0.48164,1.4308,1.20146,0.01187,0.0016238,0.0016238,0.0016238
21,154.026,1.20801,0.80709,0.00915,0.99013,0.66667,0.80199,0.49798,1.44218,1.16251,0.01255,0.001604,0.001604,0.001604
